,1827300.3,693748.4,1637747.3,1165841.3,912630.3,1950946.3,1378073.3,589873.29,1919105.4,1951070.3
rxn08713_c0,0,0,0,0,0,0,0,0,0,0
rxn03137_c0,1,1,1,1,1,1,1,1,1,1
rxn09195_c0,0,0,0,0,0,0,0,0,0,0
rxn01279_c0,1,0,0,0,0,0,0,0,0,0
rxn00720_c0,0,0,0,0,0,0,0,0,0,0
rxn12639_c0,1,1,1,1,1,1,1,1,1,1
rxn20214_c0,0,0,0,0,0,0,0,0,0,0
rxn08076_c0,1,1,1,1,0,1,1,1,1,1
rxn01213_c0,0,0,0,0,0,0,1,0,0,0
rxn01537_c0,0,1,1,0,0,0,0,0,1,0
rxn03918_c0,1,0,0,0,0,1,1,1,0,1
rxn05252_c0,1,1,1,1,1,1,1,1,1,1
rxn10317_c0,0,0,0,0,0,0,1,0,0,0
rxn23042_c0,1,1,1,1,0,0,1,1,0,0
rxn08542_c0,0,0,0,0,0,0,0,0,0,0
rxn03886_c0,0,0,1,0,0,0,0,0,0,0
rxn04751_c0,0,0,0,0,0,0,1,0,0,0
rxn09313_c0,0,0,0,0,0,0,0,0,0,0
rxn02296_c0,0,0,0,0,0,0,0,0,0,0
rxn03241_c0,1,1,1,1,1,1,1,1,1,1
rxn05195_c0,1,1,1,1,1,1,1,1,1,1
rxn18575_c0,0,0,0,0,0,0,0,0,0,0
rxn03540_c0,1,1,1,0,0,0,0,0,0,0
rxn05335_c0,1,1,1,0,0,0,1,1,0,0
rxn02227_c0,0,0,0,0,0,0,0,0,0,0
rxn00745_c0,1,0,0,0,1,0,1,1,1,0
rxn00510_c0,0,1,0,0,0,0,0,0,1,0
rxn05598_c0,0,0,1,0,1,0,0,0,0,0
rxn05289_c0,1,1,1,1,1,1,1,1,1,1
rxn00712_c0,0,0,0,0,0,0,1,1,1,0
rxn08528_c0,1,1,1,0,1,0,1,1,1,0
rxn00407_c0,1,1,1,1,0,0,1,1,1,0
rxn08335_c0,1,1,1,1,1,1,1,1,1,1
rxn05361_c0,1,1,1,1,0,1,1,1,0,1
rxn00804_c0,1,0,0,0,1,0,0,1,0,0
rxn05505_c0,0,0,0,0,0,0,0,0,0,0
rxn00147_c0,1,0,0,1,0,0,1,1,1,0
rxn37060_c0,0,0,0,0,0,0,0,0,0,0
rxn05325_c0,0,1,1,1,0,1,1,0,1,1
rxn01114_c0,0,0,1,0,1,0,1,0,0,0
rxn09023_c0,1,0,0,0,0,0,0,0,0,1
rxn01013_c0,1,1,0,0,0,0,1,0,1,0
rxn10126_c0,1,1,1,0,1,0,1,1,1,0
rxn46694_c0,1,1,0,1,0,0,1,1,0,0
rxn01640_c0,1,1,1,0,0,0,0,0,0,0
rxn16823_c0,0,0,0,0,0,0,0,0,1,0
rxn27362_c0,0,0,0,1,0,0,0,0,0,0
rxn12849_c0,0,0,1,0,1,1,0,0,0,0
rxn00559_c0,1,1,1,1,1,0,1,1,1,0
rxn00297_c0,0,0,0,1,0,0,1,0,0,0
rxn08668_c0,1,1,1,0,1,1,1,1,1,0
rxn06777_c0,0,0,0,0,0,1,0,0,1,1
rxn05541_c0,0,0,1,0,1,1,0,0,0,0
rxn04598_c0,0,0,0,0,0,0,1,0,0,0
rxn01644_c0,1,1,1,1,1,1,1,1,1,1
rxn02927_c0,1,0,0,0,0,0,1,1,0,0
rxn00800_c0,1,1,1,1,1,1,1,1,0,1
rxn01457_c0,0,0,1,0,0,0,1,1,0,0
rxn11877_c0,0,0,0,0,0,0,0,0,0,0
rxn05149_c0,0,0,0,0,0,1,0,0,0,0
rxn03251_c0,1,1,1,0,1,1,1,1,1,1
rxn05170_c0,1,1,1,0,1,0,1,0,0,0
rxn10268_c0,0,0,0,1,0,0,1,1,0,0
rxn00151_c0,0,1,1,0,0,0,0,0,0,0
rxn06493_c0,0,0,0,0,1,1,1,0,0,1
rxn01649_c0,0,0,1,0,1,0,1,0,1,0
rxn00304_c0,1,0,1,0,1,1,1,1,1,1
rxn01710_c0,1,1,1,0,1,0,1,1,0,0
rxn04142_c0,1,1,1,0,1,1,1,0,0,1
rxn08508_c0,0,1,0,0,0,0,1,0,0,0
rxn00547_c0,1,1,1,0,1,0,0,1,1,0
rxn04712_c0,0,0,0,0,0,0,0,0,0,0
rxn11544_c0,0,0,0,0,0,0,0,0,0,0
rxn00748_c0,0,1,0,0,0,1,1,1,0,1
rxn05144_c0,0,0,0,0,1,0,0,0,0,0
rxn10216_c0,0,0,0,0,1,0,0,0,0,0
rxn05369_c0,1,1,1,0,0,0,1,1,0,0
rxn10338_c0,0,0,0,0,0,0,0,0,0,0
rxn01462_c0,1,0,0,0,0,0,0,0,0,0
rxn24606_c0,0,0,0,0,0,0,0,0,0,0
rxn08158_c0,0,0,0,0,0,0,0,0,0,0
rxn00914_c0,0,0,0,0,0,0,1,0,0,0
rxn01670_c0,1,1,1,1,1,1,1,1,1,1
rxn08783_c0,1,0,0,0,0,0,1,1,0,0
rxn01368_c0,0,0,1,1,1,1,1,1,0,1
rxn42177_c0,0,0,0,0,0,0,0,0,0,0
rxn01851_c0,1,1,1,0,1,1,1,1,1,1
rxn05347_c0,1,1,1,1,1,1,1,1,1,1
