geneID	bh_t14_A	bh_t14_B	bh_t14_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_00001	131	65	32	7	6	10
RUMHYD_00002	18860	30936	18434	7620	5729	7250
RUMHYD_00004	58	11	42	3	0	12
RUMHYD_00005	31	30	17	7	4	11
RUMHYD_00007	0	0	0	0	0	0
RUMHYD_00006	5	0	18	75	13	123
RUMHYD_00008	0	0	6	61	42	284.02
RUMHYD_00009	24	3	0	46	34	122.195
RUMHYD_00010	0	11	4	23	50	196.8
RUMHYD_00011	0	12	9	34.587	17	169.985
RUMHYD_00012	0	17	16	59.793	42	173
RUMHYD_00013	43	104	40	74.62	77	196
RUMHYD_00014	30	86	12	9	33	51
RUMHYD_00015	38	100	32	3	8	15
RUMHYD_00016	0	0	0	0	0	0
RUMHYD_00017	331	946	261	68	92	69
RUMHYD_00018	869	1557	1011	229	270	537
RUMHYD_00019	517	557	453	320	132	117
RUMHYD_00020	89	376	212	69	73	65
RUMHYD_00021	1079	2348	1287	46	65	118
RUMHYD_00022	368	830	484	57	29	155
RUMHYD_00023	91	295	203	26	13	149.774
RUMHYD_00024	92	130	170	20	22	80.226
RUMHYD_00025	101	182	120	61	36	189
RUMHYD_00026	138	120	141	44	33	196
RUMHYD_00027	0	13	21	18	3	114
RUMHYD_00028	153	92	95	29	38	39
RUMHYD_00029	0	9	0	0	0	0
RUMHYD_00030	1428	774	866	8	9	49
RUMHYD_00031	192	205	150	88	49	41
RUMHYD_00032	0	8	0	0	0	6
RUMHYD_00033	9	9	5	0	0	2
RUMHYD_00034	26	14	0	1	0	3
RUMHYD_00035	1144	1318	1136	126	100	235
RUMHYD_00036	13875	8794	8426	1722	1144	830
RUMHYD_00037	188	258	94	57	71	16
RUMHYD_00038	646	535	404	80.481	50	101
RUMHYD_00039	81	283	178	38.519	28	209.451
RUMHYD_00040	864	716	731	125	132	213.549
RUMHYD_00041	3184	3592	1885	3782	1949	999
RUMHYD_00042	170	292	112	65	15	39
RUMHYD_00043	101	302	193	61	40	63
RUMHYD_00044	1808	1541	1515	421	244	391
RUMHYD_00045	408	245	279	74	63	133
RUMHYD_00046	216	140	144	51	88	88
RUMHYD_00047	111416	220531	125975	780	632	391
RUMHYD_00048	0	3	9	0	7	0
RUMHYD_00049	14494	9624	9165	2165.76	1312	1089.674
RUMHYD_00050	196	118	74	12.24	10	34.326
RUMHYD_00051	6229	13429	3670	36	22	8
RUMHYD_00052	33.431	53	67.127	2	0	2.46
RUMHYD_00053	70.569	152	71.873	3	11	12.54
RUMHYD_00054	0	5	0	0	0	5
RUMHYD_00055	3261	3088	2742	228	151	333
RUMHYD_00056	8938	11233	8371	753	499	641
RUMHYD_00057	58	206	144	41	42	219
RUMHYD_00058	2080	2188	1764	299	295.864	242
RUMHYD_00059	7880	7554	7002	825	817.136	865
RUMHYD_00060	1162.861	1821.122	1321.72	59.264	78	80.108
RUMHYD_00061	1923.139	2758.878	2868.28	185.736	145	324.55
RUMHYD_00062	472	516	412	64	64	133.09
RUMHYD_00063	655	956	875	189	153	266.251
RUMHYD_00064	5219	7882	6806	1125	845	698
RUMHYD_00065	1549	1916	1243	180	179	151
RUMHYD_00066	41	0	0	6	0	17
RUMHYD_00067	948	658	706	451	255	430
RUMHYD_00068	873	1285	998	269	142	146.006
RUMHYD_00069	6768	11649	11477	552	391	517.994
RUMHYD_00070	4398	3267	2568	639	466	538
RUMHYD_00071	0	3	1	0	0	9
RUMHYD_00072	128	119	55	23	14	29
RUMHYD_00073	301	416	264	55	86	368
RUMHYD_00074	0	0	0	0	0	0
RUMHYD_00075	49	101	65	21	27	34
RUMHYD_00076	2876	3550	2103	288	235	200
RUMHYD_00077	1239	917.142	691	212	176	149
RUMHYD_00078	3455	5896.858	3072	449	362	292
RUMHYD_00079	556	356.534	343.807	65.139	31	16
RUMHYD_00080	1904.68	3405.99	2141.188	444.001	351	163
RUMHYD_00081	5421.677	4796.923	4189.006	290.86	281	249.651
RUMHYD_00082	2350.643	3748.553	2155	113	146	99.349
RUMHYD_00083	4567	2894	4245	49	75	69
RUMHYD_00084	1613	1364	993.222	55	81	53.99
RUMHYD_00085	255	209	179.778	33.275	36	41.01
RUMHYD_00086	853	859.7	709	32.725	70	60.495
RUMHYD_00087	5185	2585.3	3249.07	28	57.997	53.505
RUMHYD_00088	1668	1514	1057.93	48	81.003	38
RUMHYD_00089	105	105	73	9	3	57
RUMHYD_00090	81	62	35	15	4	82
RUMHYD_00091	24	7	19	13	15	47
RUMHYD_00092	0	11	22	6.686	6	36
RUMHYD_00093	6	45	7	8.314	6	49
RUMHYD_00094	6	11	2	10	10	68.089
RUMHYD_00095	21	0	7	5	9	77.911
RUMHYD_00096	0	6	0	3	0	46
RUMHYD_00097	0	2	0	0	3	36
RUMHYD_00098	0	0	0	2	10	72.259
RUMHYD_00099	0	0	0	0	0	9.741
RUMHYD_00100	3528	2105	2462	132	129	54
RUMHYD_00101	434	274	168	29	23	8
RUMHYD_00102	2977	3253	3200	316	225	184
RUMHYD_00103	995	1533	1090	229.408	206	128.254
RUMHYD_00104	345	297	162	167.592	84	100.746
RUMHYD_00105	0	0	0	0	4	58
RUMHYD_00106	0	4	0	0	0	14
RUMHYD_00107	22	0	5	2	9	56
RUMHYD_00108	0	5	7	4	1	27
RUMHYD_00109	0	6	2	2	0	33
RUMHYD_00110	0	0	0	0	7	64.388
RUMHYD_00111	4	5	6	2	7	56.612
RUMHYD_00112	2	7	11	1	0	35
RUMHYD_00113	0	19	0	5	0	16
RUMHYD_00114	4	6	17	0	10	30
RUMHYD_00115	0	0	0	0	0	6
RUMHYD_00116	122	112	128	4	16	35
RUMHYD_00117	21	45	31	6	0.899	23
RUMHYD_00118	0	12	32	1	9.101	23
RUMHYD_00119	24	55	14	10	4	64
RUMHYD_00120	9	17	2	3	4	55
RUMHYD_00121	23	0	0	10	11	141
RUMHYD_00122	0	0	0	4	7	41
RUMHYD_00123	119	158	127	28	12	47.631
RUMHYD_00124	138	129	80	24.808	25	44
RUMHYD_00125	73	157	134	43.192	30	222
RUMHYD_00126	60	71	113	18	12	102
RUMHYD_00127	46	97	70	31	23.341	96.278
RUMHYD_00128	52	124	99	22	18.659	86.722
RUMHYD_00129	10	42	60	49	44	216
RUMHYD_00130	14	51	52	26.666	31	200.122
RUMHYD_00131	21	26	6	48.334	42	275.878
RUMHYD_00132	731	908	752	126	21	32
RUMHYD_00134	0	0	0	1	0	7
RUMHYD_00133	2616	2557	2494	738	365	454.498
RUMHYD_00135	256	205	161	73	73.584	150.099
RUMHYD_00136	1649	1563	1396	368	206.416	293.402
RUMHYD_00137	371	871	614	106	100	97
RUMHYD_00138	150	111	111	63	17	68
RUMHYD_00139	19765	27917	19638	857	554	499
RUMHYD_00140	0	25	2	5	0	21
RUMHYD_00141	0	3	0	1	10	12
RUMHYD_00142	21	3	0	0	0	3
RUMHYD_00143	149	331	252	27	12	37
RUMHYD_00144	65	30	62	7	5	25
RUMHYD_00145	0	0	0	0	0	0
RUMHYD_00146	63.357	70	35	35	9	61
RUMHYD_00147	67.643	28	19	2	0	5
RUMHYD_00148	3591	2062	1847	359	166	200.001
RUMHYD_00149	460	548	345	99	25	104.999
RUMHYD_00150	574	1966	1364	257	160	203
RUMHYD_00151	7017	10810	8384	1049.999	822	711
RUMHYD_00152	1716	2096	1785	249.001	237	173
RUMHYD_00153	4049	5200	4816	440	315	395.665
RUMHYD_00154	6764	9223	8822.84	688	552	612.905
RUMHYD_00155	3233	7117	5782	699	352	407.43
RUMHYD_00156	31084	47597	35073	6761	4187	2521
RUMHYD_00157	0	10	18	57	27	90
RUMHYD_00158	26	28	21	25	34	56
RUMHYD_00159	0	0	0	0	0	3
RUMHYD_00160	22	25	37	94	77	230.373
RUMHYD_00161	2417	3470	2029	302	420	180.627
RUMHYD_00162	1708	2200	1574	3365.415	2156.012	1117.114
RUMHYD_00163	1907	3039	2379	3591.565	1916.988	1080.876
RUMHYD_00164	9727	15920	12269	3851.019	3863	1986.198
RUMHYD_00165	2613	3771	2537	2430	2235	1048.841
RUMHYD_00166	5783	4892	4689	3688.028	4356.518	1956.622
RUMHYD_00167	9700	9055	7689	6471.838	5480.482	2593.349
RUMHYD_00168	140	169	195	42	49	49
RUMHYD_00169	560	910	1442	153.498	158	105
RUMHYD_00170	20	218	151	65.502	83	37
RUMHYD_00171	1078	927	858	739	447	337
RUMHYD_00172	3325	3041	3045	591	468	554
RUMHYD_00173	133	211	89	82	68	27
RUMHYD_00174	766	1076	569	1623	1277	903
RUMHYD_00175	146	210	118	85	82.152	79.445
RUMHYD_00176	98	163.168	134	120	77.848	178.555
RUMHYD_00177	92	33.832	31	18	32	34
RUMHYD_00178	46	65	33	28	24	144
RUMHYD_00179	825	1296	894	606	370	238
RUMHYD_00180	73	214	150	68	60	30
RUMHYD_00181	0	0	0	0	0	12.061
RUMHYD_00182	195	288	134	161	208	293.233
RUMHYD_00183	294	479	290	129.601	116	154.706
RUMHYD_00184	133	214	185	74.399	43	139.369
RUMHYD_00185	110	86	99	228	73	232.631
RUMHYD_00186	327	333	122	71	24	36
RUMHYD_00187	1068	1305	977	621.543	478	396.424
RUMHYD_00188	7	64	38	19.457	17	53.576
RUMHYD_00189	2114	6281	4219	901	468	333
RUMHYD_00190	247	354	235	90	40	68
RUMHYD_00191	343.04	1208	825	280	150	191
RUMHYD_00192	151.96	959.514	717	178	109	65.607
RUMHYD_00193	129	371.486	225	54	25	13.393
RUMHYD_00194	112	230	146	1	4	2
RUMHYD_00195	434	1003	989	287	140	398.775
RUMHYD_00196	22	128	107	24	48	95.724
RUMHYD_00197	790	2194	2304.622	188.876	100	94.501
RUMHYD_00198	680	1756	1598.378	202.124	209	139
RUMHYD_00199	898	921	1016	130	138	180
RUMHYD_00200	2873	6781.993	7711.154	511.55	406	498
RUMHYD_00201	1567	4607.007	5003.846	443.45	261	306.334
RUMHYD_00202	104	292	270	197	44	162.666
RUMHYD_00203	669	1453	1017	163	124	190
RUMHYD_00204	857	991	932	222	204	363.276
RUMHYD_00205	256	553	498	51	85	93.724
RUMHYD_00206	159	263	144	48	42	28
RUMHYD_00207	44	165	65	33	33	18
RUMHYD_00208	235	534.238	231	32	15	41.979
RUMHYD_00209	462	636.422	518.947	72.724	37.821	74.611
RUMHYD_00210	337	1374.34	798.053	163.276	141.179	78.41
RUMHYD_00211	259	289	265	99	72	165
RUMHYD_00212	51	83	49	23	8	60.561
RUMHYD_00213	315	616	643	153	111	199.101
RUMHYD_00214	545	836	778	205	120	341.338
RUMHYD_00215	0	0	5	1	0	3
RUMHYD_00216	826	1737	1549	314	295	315.445
RUMHYD_00217	79	287	245	44.998	35	85.869
RUMHYD_00218	340	396	368	230.002	156	272.545
RUMHYD_00219	5499	5839	4945	672	621	511.142
RUMHYD_00220	1168.364	1529	728.002	270.394	197	244
RUMHYD_00221	1798.636	1558	1184.998	255.127	123	118.044
RUMHYD_00222	8837	10065	9562	1016.815	727	732.094
RUMHYD_00223	4239	3970	3086	657.665	494	288.863
RUMHYD_00224	420	749	586	36	31	35
RUMHYD_00226	1099	553	675	577.17	163	370.808
RUMHYD_00227	416	206	302	191.83	55	198.192
RUMHYD_00228	0	13	0	0	5	26
RUMHYD_00229	1749	1524	1400	356	241	307
RUMHYD_00230	16	0	0	5	0	12
