geneID	bh_t14_A	bh_t14_B	bh_t14_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_00231	327	411	267	31	28	19
RUMHYD_00232	229	215	154	65	54	63.618
RUMHYD_00233	5067	4087	4050	878	527	750.384
RUMHYD_00234	290	403	406	62	35	97.001
RUMHYD_00235	769	883	516	196	154	115.997
RUMHYD_00236	174	205	134	24	32	45.528
RUMHYD_00237	22482	26976	29691	1804	1171	1009.472
RUMHYD_00238	653	812	571	83	50	175.101
RUMHYD_00239	991	2503	1810	77.576	61	118.899
RUMHYD_00240	153	398	272	29.424	18	77
RUMHYD_00242	0	0	10	9	6	22
RUMHYD_00241	0	6	9	0	0	0
RUMHYD_00243	129	447	263	75	71	163.041
RUMHYD_00244	76	103	50	11	21	114.396
RUMHYD_00245	79	21	31	19	5	110.563
RUMHYD_00246	0	0	0	2	0	55
RUMHYD_00247	990	836	654	322	290.569	342.95
RUMHYD_00248	3319	2713	2996	454.809	318.431	361.05
RUMHYD_00249	2233	1339	1482	472.191	191	392.001
RUMHYD_00250	451	230	207	94	75	123.999
RUMHYD_00251	2272	3846	3030.689	307.109	221	210.964
RUMHYD_00252	3953	4287	3533.311	301.891	259	219.036
RUMHYD_00253	723	949	586	163	102	235
RUMHYD_00254	0	38	12	17.376	11	100.775
RUMHYD_00255	85	44	31	29.624	19	115.225
RUMHYD_00256	20	11	13	20	28	130
RUMHYD_00257	64	46	26	24	26	65
RUMHYD_00258	385	804	484	82	73	69
RUMHYD_00259	6879.227	8859.25	7581	2624.452	1849.058	1067.416
RUMHYD_00260	11897.773	14071.75	11974	2668.19	1977.032	982.584
RUMHYD_00261	50170.156	42674.68	44465.168	4754.773	2693.153	2413.958
RUMHYD_00262	15876.844	21271.32	16158.832	421.227	256.757	268.042
RUMHYD_00263	0	7	2	0	0	0
RUMHYD_00264	362	343	428	90	51	202
RUMHYD_00265	632	862	413	110.629	126	85.812
RUMHYD_00266	3440	5769.125	3644.481	534.36	626	472.188
RUMHYD_00267	3532.015	5306.875	4145.519	612.011	604	587.47
RUMHYD_00268	10017	9630	11823	1157	709	538.53
RUMHYD_00269	0	1	0	0	0	24
RUMHYD_00270	45	77	66	71	9	173.552
RUMHYD_00271	1025	1119	1174	236	260	752.815
RUMHYD_00272	979	1552	1182	346	207	258.633
RUMHYD_00273	1580	2489	1517	223	214	242
RUMHYD_00274	92.487	228.415	101.934	10.056	11	24
RUMHYD_00275	1.426	36.172	44.504	7.001	1.198	0
RUMHYD_00276	491	1184	760	78	60	234.501
RUMHYD_00277	56	119	70	24	37	143.501
RUMHYD_00278	81	96	71	49	32	273.998
RUMHYD_00279	0	0	0	0	0	0
RUMHYD_00280	933	2433	928	319	373	254
RUMHYD_00281	77	159	97	41	73	131
RUMHYD_00282	708	1161	585	215	98	255
RUMHYD_00283	221	801	483	203	117	192.033
RUMHYD_00284	770	850	504	192	171	129.967
RUMHYD_00285	1127	797	906	241	157	243
RUMHYD_00286	1429	472	693	103	60	182
RUMHYD_00287	1056	1759	1079	608	267	221
RUMHYD_00288	57	52	27	35	35	40.128
RUMHYD_00289	1032	1973	1230	571	334	478.872
RUMHYD_00290	121	74	72	22	9	8
RUMHYD_00291	1519	1071	1499	65	24	27
RUMHYD_00292	18	32	14	10	10	55.984
RUMHYD_00293	217	462	402	66	43	94.016
RUMHYD_00294	323	273	242	126	58	175
RUMHYD_00295	26037	58640	33522	1202	751	750
RUMHYD_00296	1404	681	759	70	121.826	217.586
RUMHYD_00297	392	405	427	48	81.174	115.414
RUMHYD_00298	2297	7804	2342	219	195	246
RUMHYD_00299	14	0	19	0	6	1
RUMHYD_00300	344	353	262	135	108	56
RUMHYD_00301	15	11	6	1	0	0
RUMHYD_00302	541	482	606.999	120	66	130.275
RUMHYD_00303	134	168	133.001	42	16	94.322
RUMHYD_00304	155	121	48	33	55	145.404
RUMHYD_00305	6846	2917	2803	685	532	249
RUMHYD_00306	2838	2858	2296	360	306	432
RUMHYD_00307	1438	1183	1127	218	254	449
RUMHYD_00308	676	515	487	156	53	110.604
RUMHYD_00309	3042	3768	3176	427	343	309.396
RUMHYD_00310	2111	2521	1664	689	370	295
RUMHYD_00311	13817.751	21473	17155.727	1929	1431	850
RUMHYD_00312	3810.249	1628	1332	118	109	74
RUMHYD_00313	88	47	39	1	4	0
RUMHYD_00314	8535	6739	7256	1087	966	678
RUMHYD_00315	27792	40494	37814	7599	5815	3515
RUMHYD_00316	4843	4841	4584.007	1124.039	772.117	529.521
RUMHYD_00317	48322	42961	40246.993	5447.971	4475.883	3046.479
RUMHYD_00318	12563	14067	11902	2752	1821	1304
RUMHYD_00319	16600.286	17413.596	18922.811	2475.305	1840.086	1089
RUMHYD_00320	23778.163	40400.649	30308.067	2936.372	2422	1677.181
RUMHYD_00321	56004	138376	96240	3124	1687	1302
RUMHYD_00322	9608	10851	8498	2734	2471	1637.175
RUMHYD_00323	2553	3168	2494	560	458	336.825
RUMHYD_00324	326	392	301	121	59	98
RUMHYD_00325	6724	9372	6966	1655	1662	1022
RUMHYD_00326	0	9	9	3	0	14
RUMHYD_00327	307	279	167	245	131	274
RUMHYD_00328	1448	1480	968	193	155	262
RUMHYD_00329	0	0	0	0	0	0
RUMHYD_00330	0	4	0	0	0	0
RUMHYD_00331	2927	1290	1991	671.819	461	209.475
RUMHYD_00332	21903	23401.376	26660.994	4993.983	4930.614	2361.525
RUMHYD_00333	22442	21874.315	25165.767	3231.19	3087.392	1516
RUMHYD_00334	22962	17106	20395.239	3304.289	3732.994	1783.149
RUMHYD_00335	19495	13897	19056	2507.719	2680	1098.851
RUMHYD_00336	2486	3789	3243	909	407	397
RUMHYD_00337	0	2	0	0	0	0
RUMHYD_00338	248	241	204	234.01	193	124
RUMHYD_00339	966	1261	1076	644.407	639.883	546
RUMHYD_00340	1189	1141	1160	387.583	308.117	441
RUMHYD_00341	0	0	0	0	0	0
RUMHYD_00342	969	968	739	115.166	92	172.001
RUMHYD_00343	914	704	766	146.834	41	325.999
RUMHYD_00344	75	73	42	43	23	206
RUMHYD_00345	135	133	84	35	22	97
RUMHYD_00346	219	255	205	68	33	61
RUMHYD_00347	73	58	62	6	14	82
RUMHYD_00348	6162	7751	6002	475	381	427
RUMHYD_00349	150	476	291	86	93	126
RUMHYD_00350	4757	2177	2503	718	420	460.831
RUMHYD_00351	1064	1113	1091	262.145	344	391.449
RUMHYD_00352	6037.678	9040	8250	1340.855	856	971.991
RUMHYD_00353	691.322	567	499	41	30	96.729
RUMHYD_00354	3353	4708	3829	322	268	268
RUMHYD_00355	38	91	71	39	38	135
RUMHYD_00356	122	150	62	19	22	100
RUMHYD_00357	1508	4111.819	2624.604	358.341	297.331	204.65
RUMHYD_00358	16113	21512.181	18949.396	2968.659	2133.771	1593.35
RUMHYD_00359	4828	10442.697	8964.185	1807.764	1338.96	860.327
RUMHYD_00360	33260	41235.303	35545.815	4539.236	3725.938	2914.673
RUMHYD_00361	1749	2904.166	1625.148	140.476	96.449	75
RUMHYD_00362	0	0	0	0	5	19
RUMHYD_00363	24	7	24	9	0	131
RUMHYD_00364	166	86	42	22	16	75
RUMHYD_00365	0	7	0	1	0	0
RUMHYD_00366	256	179	198	11	7	126
RUMHYD_00367	0	0	0	0	7	3
RUMHYD_00368	75	401	417	14	1	11
RUMHYD_00369	1	14	20	0	10	17
RUMHYD_00370	593	879.834	658.852	34.524	31.551	46
RUMHYD_00371	6472	7338.988	7314	446	344	585
RUMHYD_00372	830	1009	750	34	55	95.244
RUMHYD_00373	479	483.457	429	46	23.005	74.529
RUMHYD_00374	828	1849.543	1026	23	35.995	42.642
RUMHYD_00375	369	536.013	251	19	19	54.585
RUMHYD_00376	1216	2208.987	1820	84	55	137
RUMHYD_00377	216	611	230	7	16	96
RUMHYD_00379	0	0	0	0	0	0
RUMHYD_00378	44	72	31	7	10	50
RUMHYD_00380	56	87	74	5	14	44
RUMHYD_00381	4018	4195	3479	1153	1196	793.995
RUMHYD_00382	1138.423	288	577	23	6	55.005
RUMHYD_00383	47.673	18.02	3.003	4.013	0	11
RUMHYD_00384	801	914	605	150	84	107
RUMHYD_00385	53	133	92	4	14	75
RUMHYD_00386	6	0	5	0	0	14
RUMHYD_00387	412	518	320	44	66	110
RUMHYD_00388	61	383	347	24	28	16
RUMHYD_00389	47	254	177	26	34	105.564
RUMHYD_00390	91	58	46	15	29	89.302
RUMHYD_00391	214	239	164	68	89	169.133
RUMHYD_00392	1011	2024.492	1403.481	188	76	157
RUMHYD_00393	660	1266.508	563.519	99	128	59
RUMHYD_00394	0	8	7	0	0	0
RUMHYD_00395	107	69	31	19	12.477	42.472
RUMHYD_00396	1484	1768	1949	67	59.523	84.528
RUMHYD_00397	330	128	132	4	31	7
RUMHYD_00398	402	357	369	35	20	251
RUMHYD_00399	5307	9758	8451	268.369	206	185
RUMHYD_00400	1080	1470	1124	36.631	62	74.831
RUMHYD_00401	167	102	186	16	1	53.169
RUMHYD_00402	3767	3816	4496	704.77	519	279
RUMHYD_00403	231	325	191	26.23	31	19
RUMHYD_00404	562	535	510	88.339	102	138
RUMHYD_00405	3945	9428	6517	671.661	511	415
RUMHYD_00406	5893	7317	6496	2009	1664	882
RUMHYD_00407	330	421	497	61	49	86.155
RUMHYD_00408	1912	2079	1981	268	249	389.536
RUMHYD_00409	1373	2035	1656	248.029	203	474.068
RUMHYD_00410	660	877	929	163.971	147	303.241
RUMHYD_00411	1118	1877	1819	152.912	171	140
RUMHYD_00412	448	1010	975	119.088	96	111
RUMHYD_00413	594	1218	1208	92	75	213
RUMHYD_00414	320	625	559	41	26	62.321
RUMHYD_00415	910	1752	1696	132	86	213.679
RUMHYD_00416	1244	3753	3027	332	185	163
RUMHYD_00417	1378	1564	1189	170	112	261.998
RUMHYD_00418	2257	3332	2854.892	201	173	171.78
RUMHYD_00419	950.004	1110.866	1106.048	56.03	64	90.221
RUMHYD_00420	10690.504	14774.803	12634.816	632.97	450	349.122
RUMHYD_00421	1774.492	2949.32	2568.243	146.749	143	173.878
RUMHYD_00422	525.839	500.01	329	17.028	35	14
RUMHYD_00423	3311.161	3940.999	3470.826	223.779	115.488	144.27
RUMHYD_00424	1524	2215.001	2098.174	224.444	127.512	203.817
RUMHYD_00425	1624	2898	1403	563	741	408.914
RUMHYD_00426	60	288	214	53	62	191
RUMHYD_00427	4738.984	4392.088	3519.342	399	351.112	421.551
RUMHYD_00428	756.016	712.912	623.658	131	111.888	203.886
RUMHYD_00429	2288.812	3093.208	2578.155	465.825	395.009	259.563
RUMHYD_00430	1875.188	2898.792	2081.845	151.175	151.991	134.243
RUMHYD_00431	1728.994	1211.001	1251.125	129.998	86	137.545
RUMHYD_00432	1811.782	2888.999	2569.875	150.002	73	155.211
RUMHYD_00433	9837.224	12143	11657.651	4160	2416	1749
RUMHYD_00434	478	651	444	49	33	64
RUMHYD_00435	7776	5212	5116.664	232	295	196.004
RUMHYD_00436	106	309	239.336	7	9	36.996
RUMHYD_00437	452	416	302	89	74	131
RUMHYD_00438	3431	7836	4955	424	468	291
RUMHYD_00439	1113	995	675	324	183	195
RUMHYD_00440	12	30	17	16	10	48
RUMHYD_00441	1683	2284	1731	748	297	301
RUMHYD_00442	155	423	615	164	150	97
RUMHYD_00443	169	610.003	305	90.004	39	65.283
RUMHYD_00444	554	822.997	492	128.996	69	97.717
RUMHYD_00445	0	117	74	7	9	6
RUMHYD_00446	854	1566	1224	288	206	210
RUMHYD_00447	2819.615	2979.698	1679.001	146.749	34.16	91
RUMHYD_00448	5449.603	13950.211	9932.326	936.022	294.018	380.565
RUMHYD_00449	11230.782	9021.091	7710.673	1336.229	644.821	465.435
RUMHYD_00450	1149	1683	1038	279	236	135
RUMHYD_00451	1636	2818	2159	429	280	157
RUMHYD_00452	144	342	287.519	59	38.167	66
RUMHYD_00453	960	1176	853.44	212.559	189.833	152
RUMHYD_00454	1167	1218	1077.041	136.441	94	149.995
RUMHYD_00455	5927.781	7857	7709	584	480	398.005
RUMHYD_00456	844.219	1014	918	131	72	63
RUMHYD_00457	0	0	0	2	0	7
RUMHYD_00458	67	231	19	12	8	24
RUMHYD_00459	6323	12010	3834	545	420	293
RUMHYD_00460	219	319	115	9	5	28
RUMHYD_00461	0	0	0	0	0	0
RUMHYD_00462	48	48	47	29	8	154
RUMHYD_00463	30	26	22	10	2	64.088
RUMHYD_00464	32	3	12	15	23	109.734
RUMHYD_00465	43	62	56	9	13	57.178
RUMHYD_00466	0	21	16	0	3	18
RUMHYD_00467	71	122	39	54	16	144.863
RUMHYD_00468	88	184	108	78.158	47	183.137
RUMHYD_00469	30	25	29	20.842	22	65
RUMHYD_00470	3439	3648	2842	922	687	314
RUMHYD_00471	1211	915	741	283	210	174
RUMHYD_00472	1904.977	1684	1398	128	86	244
RUMHYD_00473	1232.023	1733	1071	71	40	78
RUMHYD_00474	4723.131	4583.77	4709	310	283	297.904
RUMHYD_00475	2438.869	2412.128	2239.699	166.914	138.508	129.697
RUMHYD_00476	13008	26182.102	25251.301	496.086	424.492	304.399
RUMHYD_00477	2826	2247	3002.22	135	137	150
RUMHYD_00478	2565	3025	2416.78	201.111	255	239.189
RUMHYD_00479	621.677	2101	1510	251.889	168	161.016
RUMHYD_00480	3319.323	1540	2013	168	178	171.795
RUMHYD_00481	1129	2450	2036	328	161	176
RUMHYD_00482	315	511	334	84	48	77.983
RUMHYD_00483	2161	3768	3025	426	228	278.017
RUMHYD_00484	1992	2074	1892	350	225	216.528
RUMHYD_00485	2483	2439	1726	396	411	342.472
RUMHYD_00486	1336.833	2306.989	1568.65	142.076	71	69
RUMHYD_00487	1579.709	1891.033	1599.35	132.211	46	95.962
RUMHYD_00488	2254.458	3946.978	3685	591.713	347	283.038
RUMHYD_00489	109	17	53	1	1	7
RUMHYD_00490	5456.994	5929	4869.828	1341.019	1100.983	561
RUMHYD_00491	1827.006	4774.912	3258.353	791.547	480.376	259.206
RUMHYD_00492	2759.206	13591.868	8882.906	450.343	337.641	246.895
RUMHYD_00493	1629.794	1927.221	1066.913	822.092	524.001	534.899
RUMHYD_00494	1	3	0	1	0	9
RUMHYD_00495	1117	617	494	63	82	46
RUMHYD_00496	1050	2047	1504	244	197	215
RUMHYD_00497	9337	9567	8929.803	978.487	843.207	523.486
RUMHYD_00498	2957	2434	2330.197	391.513	303.793	223.514
RUMHYD_00499	0	5	0	0	0	0
RUMHYD_00500	6541	17174	10004	312	363	214
RUMHYD_00501	682	720	530	21	23.98	27
RUMHYD_00502	439	2169	1744	232	158.02	132.836
RUMHYD_00503	2386.995	2201.991	1667	363	309	244.164
RUMHYD_00504	571.792	581.853	360	61	45	36
RUMHYD_00505	3799.213	2536.156	2856	429	366	192
RUMHYD_00506	7337	6454	6998	1359.467	1146	834.052
RUMHYD_00507	10267	14163.885	14310.341	1568.433	1048	759.947
RUMHYD_00508	17785	21206.115	23169.659	2864.1	1739.995	1289.002
RUMHYD_00509	921	2276	1465.233	240	165.005	109
RUMHYD_00510	5149	6680	7051.767	552	340	356.393
RUMHYD_00511	606	1192	586	286	138	235.605
RUMHYD_00512	863	1120	812	248	115	132.002
RUMHYD_00513	865	1881	1514	92	50	51
RUMHYD_00514	38	42	16	41	36	92.013
RUMHYD_00515	452	480	350	50	48	123.987
RUMHYD_00516	953	793	644	159	73	312
RUMHYD_00517	114	89	126	29	30	126
RUMHYD_00518	403.978	971	565	750.1	417	373.004
RUMHYD_00519	723.022	881	726	368.9	136	201.996
RUMHYD_00520	761.267	860	547.275	105.256	82.185	126
RUMHYD_00521	372.733	308	315.725	78.744	32.815	78
RUMHYD_00522	917	1311	1067	95	38	71
RUMHYD_00523	183	1008	687	39	53	90
RUMHYD_00524	1982	2827	4362	6	48	44
RUMHYD_00525	1351	987.721	943	269.89	135	115
RUMHYD_00526	4178.637	2084.266	2120.463	294.334	162	78
RUMHYD_00527	4108.413	5122.813	3968.886	420.483	219.516	165.118
RUMHYD_00528	1754.949	1479.73	1041.349	197.996	118.484	129.712
RUMHYD_00529	2359.821	2766.471	1967.651	347.298	168	165.17
RUMHYD_00530	5433.179	9718.999	7103	1008	703	526
RUMHYD_00531	0	0	4	0	0	0
RUMHYD_00532	183	55	62	17	16	28
RUMHYD_00533	501	976	659	102	76	57
RUMHYD_00534	0	0	0	0	0	0
RUMHYD_00535	4092	2381.87	1877.093	963.545	693.665	571.279
RUMHYD_00536	1600	1633.13	1086.907	420.455	306.335	224.721
