geneID	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_02472	1057	632	641	120.59	92	111
RUMHYD_02473	301	321	134	109	41	275
RUMHYD_02474	2	0	0	0	0	0
RUMHYD_02475	150	86	54	7	5	2
RUMHYD_02476	991.223	254	1540.732	35	22.673	27
RUMHYD_02477	2157.982	550	1857	75	72	62
RUMHYD_02478	1529.399	414.415	800.488	48	63	79
RUMHYD_02479	928.067	188.585	631.512	30	24	19
RUMHYD_02480	2446.675	684	1412	68	28	101
RUMHYD_02481	860.859	150	530	21	30	87
RUMHYD_02482	6958.906	1607.42	4888.278	139.343	58.001	269
RUMHYD_02483	1284.375	299.58	926.722	38.657	28.999	120
RUMHYD_02484	4672	821	3514	77	31	96
RUMHYD_02485	8216	1231	5301	96	43	264
RUMHYD_02486	264.007	43.442	185.181	0.999	2.478	14.157
RUMHYD_02487	484.576	48	319.711	1	8	20
RUMHYD_02488	5930	3929	1645.041	195	153	128.825
RUMHYD_02489	0	0	0	0	0	8.175
RUMHYD_02490	20335	6790	13337	712	540	686.252
RUMHYD_02491	7827.572	2149.55	5901.449	140.777	156.835	199.133
RUMHYD_02492	19466.039	4856.45	12600.551	376.223	312.165	342.615
RUMHYD_02493	2024	498	1580	77	82	209
RUMHYD_02495	14577.065	35216.692	22410	2109	1623	877
RUMHYD_02494	11	4	5	2	0	0
RUMHYD_02496	8795.998	8875	14213	247	246	196
RUMHYD_02497	0	0	0	0	0	0
RUMHYD_02498	29410.195	26536.985	26975.136	2584	1245	1229
RUMHYD_02499	0	0	0	0	0	0
RUMHYD_02500	13	15	11	15	0	24
RUMHYD_02501	22085.119	16792.846	11368	825	459	571
RUMHYD_02502	2848.952	1837.108	1432	46	92	180.775
RUMHYD_02503	18	12	4	2	23	142.225
RUMHYD_02504	4763.03	6978	6413	290	330	337
RUMHYD_02505	52.003	47.004	46	4	4	35.766
RUMHYD_02506	417.947	357.996	506	48	27	205.32
RUMHYD_02507	10910.053	13263.989	12436.022	509	398	620.913
RUMHYD_03922	5314.22	13108	11376	823	425	400
RUMHYD_03923	2816.095	1359.717	2401.119	46.141	34.192	86.945
RUMHYD_03924	75.036	18.27	9	52.65	13	24
RUMHYD_03925	693	206	100	1288	272	408
RUMHYD_02508	0	0	0	0	0	7
RUMHYD_02509	96	179	93	13	2	72
RUMHYD_02510	773.005	1938.794	1254	83.442	66	75.207
RUMHYD_02511	580	930.206	711	36.558	37	149.793
RUMHYD_02512	0	0	0	1	0	0
RUMHYD_02513	12	9	39	2	0	5
RUMHYD_02514	34	10	23	19	28	137.394
RUMHYD_02515	74	70	93	6	10	181.606
RUMHYD_02522	96	62	135	14	0	2
RUMHYD_02523	211.46	259	224	5	22	55.7
RUMHYD_02524	131.159	123	97	15	1	18.3
RUMHYD_02525	115.38	157	105	8	10	56
RUMHYD_02526	0	0	0	0	0	0
RUMHYD_02527	1091	951	1102	21	51	42
RUMHYD_02528	310	386	362	9	8	16
RUMHYD_02529	1403	1594	1562	45	33	72
RUMHYD_02530	2	0	3	0	0	0
RUMHYD_02531	900	1736	1661	142	48	218
RUMHYD_02532	3846.333	1889	4014.585	153	57	102
RUMHYD_02533	597.667	226	654.418	58	27	11
RUMHYD_02534	155	148	245	2	4	37
RUMHYD_02535	2	0	14	0	0	0
RUMHYD_02536	8048.447	4966.251	7909.063	392	291	202
RUMHYD_02537	4392.665	3069.975	4065.995	289	203	246.016
RUMHYD_02538	9188.126	5641.606	9493.696	371	209	176.984
RUMHYD_02539	9653.474	4578.243	6911.778	357	244.799	236.443
RUMHYD_02540	5467.423	2726.309	4583.469	223.483	109.201	207.557
RUMHYD_02541	11523.237	6021.616	10990	404.517	289	438.019
RUMHYD_02542	14972.361	6502.983	11996.457	637	466.256	693.732
RUMHYD_02543	602.327	289.017	166	25	8.744	25.249
RUMHYD_02544	18154.32	6497.537	15934	502	400	495.588
RUMHYD_02545	7825.311	2662.763	5828	281	263	274.413
RUMHYD_02546	34184.762	10096.036	27655	786	572	752.999
RUMHYD_02547	30038.453	17402.626	39475.891	933	633	393
RUMHYD_02548	28197.296	22555.956	38825.109	683	508	324
RUMHYD_02549	4715.496	2434.008	4980	402	271	420.989
RUMHYD_02550	4787.075	2136	3790	363	232	279.011
RUMHYD_02551	20150.778	17031.003	29002.054	780.122	547	455.557
RUMHYD_02552	25582.419	19049.666	28139.946	456.878	242	293.496
RUMHYD_02553	568	389	467	28	24	168.947
RUMHYD_02554	14465.427	38244	30865	1374	1073	808
RUMHYD_02555	14382	11136	11923	768	638	572
RUMHYD_02556	1508	1202	1441	58	43	77
RUMHYD_02557	810	691	491	203	65	133
RUMHYD_02560	447	567	762	8	21	13
RUMHYD_02561	4	0	0	0	0	1
RUMHYD_02562	2452	2350	3064	311	197.248	186.467
RUMHYD_02563	7346.029	5481	9525	550	423.752	917.533
RUMHYD_02564	11	7	11	0	0	0
RUMHYD_02565	1241.432	745	1381	82	69	104
RUMHYD_02566	2973.568	2213	2714	275	177	304
RUMHYD_02567	0	0	0	0	0	0
RUMHYD_02568	14606.278	31689.067	21308.201	2903	1757	1310
RUMHYD_02569	6	11	2	19	0	3
RUMHYD_02570	430	179	138	119	157	624
RUMHYD_02571	4862	3644	4595.042	617.009	385	399.485
RUMHYD_02572	3969	2694	3430.282	453.361	287	619.841
RUMHYD_02573	454.851	347.293	323.845	72.396	24.608	98.501
RUMHYD_02574	7361.868	4266.626	7438.725	522.235	286.392	301.173
RUMHYD_02575	4891.724	3080.259	5424.148	205	154	210
RUMHYD_02576	13399.554	7638.483	14309	752	481	551.007
RUMHYD_02577	6483.863	3059.005	6718	389	286.455	401.993
RUMHYD_02578	2606.162	1829	1977	146	146.545	236.769
RUMHYD_02579	43841.391	69501.774	53371.274	2212	1562	1064.231
RUMHYD_02580	11034.687	11719.192	11734	288	238	233
RUMHYD_02581	8472.859	8353.813	7660.017	287.995	173	234.332
RUMHYD_02582	6029.718	5827.187	5408.833	265.005	210	284.668
RUMHYD_02583	9771.281	7345.329	7199.167	609	431	406.1
RUMHYD_02584	4063.398	2604.671	2583	187	151	157.9
RUMHYD_02585	0	0	0	0	0	0
RUMHYD_02586	47861.73	24110.744	13424.934	4549.753	3163	2128.832
RUMHYD_02587	9375.07	5379.773	8131.067	1009.373	602.329	383.904
RUMHYD_02588	16108.455	7367.327	8328.535	1342.874	760.671	576.265
RUMHYD_02589	3204.462	1375	2495	200	121	163.772
RUMHYD_02590	2610.538	864	1639	173	148	216.506
RUMHYD_02591	19932.605	4631.311	13921	560	364	476.722
RUMHYD_02592	221	53	109	59	58	348
RUMHYD_02593	10771.516	10517.679	16846.786	639	353	391
RUMHYD_02594	10577.439	9492.321	13612	528	378	422.557
RUMHYD_02595	1106.019	1353	1312.916	134	86	181.443
RUMHYD_02596	1069	665	1633.471	219	57	189
RUMHYD_02597	2529.946	1762	2516	173	78	328
RUMHYD_02598	25313.062	17729	26781.355	1679	1211	1013
RUMHYD_02599	538	409	550	38	30	61
RUMHYD_02600	155	33	119	97	42	20.003
RUMHYD_02601	443	98	421	29	26	73.997
RUMHYD_02602	728.341	302.413	949.227	63.401	51.891	35
RUMHYD_02603	4568.659	1699.587	6688.773	378.599	368.109	318
RUMHYD_02604	395	327	395	108	47	360.631
RUMHYD_02605	582	593	576.031	42	53.774	65.388
RUMHYD_02606	3301	3424	2441.818	338	301.226	429.982
RUMHYD_02607	4470.773	4139.809	7493.085	115.882	68	107
RUMHYD_02608	8022.069	8634.239	13493.842	258.084	122	173.71
RUMHYD_02609	7851.168	9655.575	14235.073	450.033	255	172.29
RUMHYD_02610	4	5	6	0	0	0
RUMHYD_02611	1953.053	3818.238	2374.043	298	186	203
RUMHYD_02612	18922.704	8360.756	14960.957	660	395	291
RUMHYD_02613	542.154	237	514.968	89	37.142	96.853
RUMHYD_02614	484.589	229.163	320.032	32	21.858	20.147
