geneID	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_01687	39	247	118	231	119	159	72	37	89.109
RUMHYD_01688	345	534	527	372	188	289	140	83.259	148.568
RUMHYD_01689	129	190	155	324	185	197	85	49.741	147.432
RUMHYD_01690	594	533	584	634	306	410	296	195	400.265
RUMHYD_01691	0	0	7	2	6	11	2	0	0
RUMHYD_01692	541	589.001	394	1095.578	1757.743	1169	211.546	112	306.735
RUMHYD_01693	646	653.999	553	1186.422	1452.257	1189.281	109.454	93	192.579
RUMHYD_01694	2794	4056	4010	2731.002	5655	4435.719	828	508	547.421
RUMHYD_01695	1887	2162.38	1719	5327.826	2268.544	4881.057	172.422	152	123
RUMHYD_01696	2152	4184.62	2540	14056.817	15164.461	16602.965	592.578	306	173
RUMHYD_01697	1441.284	2828	2075.221	1431.309	828.024	829.518	272	122	123
RUMHYD_01698	442.716	358.568	235.779	240.182	132.32	122.482	37	5	23
RUMHYD_01699	1850	2819.432	1990	1689.205	1056.656	906	259	112	153
RUMHYD_01700	16649	10857	10982	8339.826	2398.874	4582	1624	967	1118
RUMHYD_01701	227	160	142.368	88.993	38.023	49	6.997	0	13
RUMHYD_01702	5869	5734	4681.632	8551.202	4497.103	4724	840.003	369	691
RUMHYD_01703	0	0	13	0	0	1	4	1.999	37
RUMHYD_01704	632	511	382	1094	1214	1264	96	125	178
RUMHYD_01705	3146	3555	2634.001	17455.862	27834.485	20668	1050	783	537
RUMHYD_01706	4032	3925	2334	2632	2188.048	1953	1209	486	567.42
RUMHYD_01707	2049	1282	1118	261	218	295	162	40	152.58
RUMHYD_01708	16578	21475	15089	64092.389	25249.077	75165.488	1720	1419	1280
RUMHYD_01709	298	110	197	110	23	104	17	11	91
RUMHYD_01710	0	3	0	0	0	4	0	0	16
RUMHYD_01711	3023	2182	1584	5263	8142.218	8642	259	284	221.527
RUMHYD_01712	198	398	355.925	147.552	713.421	243.15	30	20	33.473
RUMHYD_01713	31	0	0	1	0	1	0	0	25
RUMHYD_01714	1892	1520	1464	1704.994	1117	659	321.752	190	153.376
RUMHYD_01715	15014	28366	19045	22962.439	16653.547	17343	1486.248	1081	910.624
RUMHYD_01716	1762	1533	1063	1900.869	1257.453	961	153	98	108.54
RUMHYD_01717	6203	8647	7358	7333.127	6603.865	4904	726	566	568.46
RUMHYD_01718	28289	38141	28305	51713.007	32544.068	46649.165	2646	1926	1632
RUMHYD_01719	7	20	21	14	7	21	0	0	8
RUMHYD_01720	171	95	114	680	770	1440	27	18	39
RUMHYD_01721	1349	2587	1731	4270	5486.174	7397.732	416	282	325
RUMHYD_01722	511	1658	900	3498	3163.066	8452.268	223	188	196.753
RUMHYD_01723	283	441	433	55	105	319	14	5	84.247
RUMHYD_01724	0	11	0	41	10	18	19.999	0	22
RUMHYD_01725	71	58	51	155	68	112	38.001	29	110.266
RUMHYD_01726	17	122	57	298	208	209	22	26	76.734
RUMHYD_01727	1618	1572	1395	6632.995	2687	9470	400	238	356
RUMHYD_01728	3668	2979	2372	13999.359	26776.448	19058.004	1307	784	801
RUMHYD_01729	683	798	570	881	301	431	255	78	145
RUMHYD_01730	5836	6180	3401	4828.26	824	2988	146	75	98
