	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_00001	109.52299446652	45.8792568776755	29.0644354820648	13.2165729191238	17.7774218674212	6.57119208177208	25.6892460180452	31.8654988216709	32.4528780527491
RUMHYD_00002	15767.9669896073	21835.7029348888	16742.9313648869	14712.6315102081	14835.0610214533	4157.17506336835	27964.5792367864	30426.2404582254	23528.3365882431
RUMHYD_00004	48.4910967867034	7.76418193314509	38.14707157021	3.73511843366542	10.2713993011767	6.57119208177208	11.0096768648765	0	38.943453663299
RUMHYD_00005	25.9176551791001	21.1750416358502	15.4404813498469	20.399492983865	45.826243036019	10.454169221001	25.6892460180452	21.2436658811139	35.6981658580241
RUMHYD_00007	0	0	0	0	0	0	0	0	0
RUMHYD_00006	4.18026696437098	0	16.3487449586614	50.2804404531883	358.708867902631	91.1006174972947	275.241921621913	69.0419141136202	399.170400048815
RUMHYD_00008	0	0	5.44958165288714	40.2243523625507	243.353152674032	49.8813217116335	223.863429585823	223.058491751696	921.661736698076
RUMHYD_00009	20.0652814289807	2.11750416358502	0	79.5867543173324	484.731036251684	202.213501789077	168.81504526144	180.571159989468	395.92511224354
RUMHYD_00010	0	7.76418193314509	3.63305443525809	26.7204626408372	135.503460011677	60.9328720309775	84.40752263072	265.545823513924	639.321697639158
RUMHYD_00011	0	8.4700166543401	8.17437247933071	30.7428978770923	120.096361059912	41.5179863348327	128.446230090226	90.2855799947341	551.698926896736
RUMHYD_00012	0	11.9991902603151	14.5322177410324	52.0043412687262	247.698744686068	96.7757379315524	220.193537297531	223.058491751696	561.43479031256
RUMHYD_00013	35.9502958935904	73.4068110042809	36.3305443525809	134.464263611955	684.628268805353	228.796960665337	275.241921621913	408.940568211443	636.076409833883
RUMHYD_00014	25.0816017862259	60.7017860227707	10.8991633057743	729.210044972526	848.180549985628	882.033191703316	33.0290305946296	175.26024351919	165.509678069021
RUMHYD_00015	31.7700289292195	70.5834721195008	29.0644354820648	410.288394098017	425.47296336028	483.878689657762	11.0096768648765	42.4873317622278	48.6793170791237
RUMHYD_00016	0	0	0	0	0	0.298690549171458	0	0	0
RUMHYD_00017	276.733673041359	667.719646250478	237.056801900591	1617.88091538231	1791.96412423605	1826.49270818347	249.552675603868	488.60431526562	223.924858563969
RUMHYD_00018	726.530398407677	1098.98466090063	918.254508511483	854.480170901612	3806.34354872451	2540.06443015408	840.405334018908	1433.94744697519	1742.71955143263
RUMHYD_00019	432.239604115959	393.14993970562	411.443414792979	199.685177799805	303.006279384712	82.139901022151	1174.3655322535	701.040974076759	379.698673217165
RUMHYD_00020	74.4087519658035	265.393855169323	192.551885068679	665.138397995034	916.919914539656	1146.07563717088	253.22256789216	387.696902330329	210.943707342869
RUMHYD_00021	902.101610911258	1657.29992536588	1168.93526454429	282.719733748213	98.7634548190065	177.123495658675	168.81504526144	345.209570568101	382.94396102244
RUMHYD_00022	307.667648577704	585.842818591857	439.599586666229	183.308120052195	157.626473891134	137.397652618871	209.183860432654	154.016577638076	503.019609817612
RUMHYD_00023	76.0808587515519	208.221242752527	184.377512589348	135.900847624903	128.392491264708	91.1006174972947	95.4171994955966	69.0419141136202	486.793170791237
RUMHYD_00024	76.916912144426	91.7585137553511	154.404813498469	145.669618912951	154.466043336926	147.254440741529	73.3978457658435	116.840162346126	259.623024421993
RUMHYD_00025	84.4413926802938	128.461919257492	108.991633057743	217.211502757774	261.920682180005	188.175045978019	223.863429585823	191.192992930025	613.359395196959
RUMHYD_00026	115.375368216639	84.700166543401	128.065168842848	480.96832753507	471.694260215575	408.011290168212	161.475260684856	175.26024351919	636.076409833883
RUMHYD_00027	0	9.17585137553511	19.073535785105	52.2916580713159	23.7032291565616	30.7651265646602	66.0580611892592	15.9327494108354	369.96280980134
RUMHYD_00028	127.916169109752	64.9367943499408	86.2850428373797	173.539348764147	250.069067601724	200.122667944877	106.426876360473	201.814825870582	126.566224405722
RUMHYD_00029	0	6.35251249075507	0	4.02243523625507	7.90107638552052	6.86988263094354	0	0	0
RUMHYD_00030	1193.88424502435	546.316074204936	786.556285233377	60.336528543826	48.1965659516752	57.9459665392629	29.3591383063374	47.7982482325063	159.019102458471
RUMHYD_00031	160.522251431846	144.696117844977	136.239541322179	479.531743522122	875.834317334949	778.984952239163	322.950521369711	260.234907043645	133.056800016272
RUMHYD_00032	0	5.64667776956007	0	0.861950407768943	0.790107638552052	1.19476219668583	0	0	19.4717268316495
RUMHYD_00033	7.52448053586777	6.35251249075507	4.54131804407262	0.574633605179295	0	0	0	0	6.49057561054983
RUMHYD_00034	21.7373882147291	9.88168609673012	0	2.29853442071718	3.16043055420821	2.09083384420021	3.66989228829218	0	9.73586341582475
RUMHYD_00035	956.44508144808	930.290162535021	1031.7874596133	1780.21490884546	822.502051732686	1085.44145568908	462.406428324814	531.091647027848	762.642634239605
RUMHYD_00036	11600.2408261295	6207.1105381889	7653.02916787117	12478.456053271	15926.1996702937	10017.1849475632	6319.55452043913	6075.68844199858	2693.58887837818
RUMHYD_00037	157.178037860349	182.105358068312	85.3767792285652	552.797528182482	1653.30023367017	847.98246909777	209.183860432654	377.075069389772	51.9246048843986
RUMHYD_00038	540.090491796731	377.621575839329	366.938497961067	362.593804868135	303.006279384712	408.907361815726	293.591383063374	265.545823513924	327.774068332766
RUMHYD_00039	67.7203248228099	199.751226098187	161.670922368985	212.03980031116	122.466683975568	267.925422606798	143.125799243395	148.705661167797	678.265151302457
RUMHYD_00040	722.350131443305	505.377660375626	663.940698043417	903.036710539262	410.460918227791	528.682272033481	458.736536036522	701.040974076759	694.491590328832
RUMHYD_00041	2661.99400291144	2535.35831853247	1712.07690261538	5101.30982997919	57622.1550257819	15162.4283475907	13879.532634321	10350.9762005728	3242.04251746964
RUMHYD_00042	142.129076788613	206.103738588942	101.725524187227	491.024415625708	434.164147384352	758.673994895504	238.542998738991	79.6637470541772	126.566224405722
RUMHYD_00043	84.4413926802938	213.162085800892	175.294876501203	421.206432596423	658.159662913859	747.025063477817	223.863429585823	212.436658811139	204.45313173232
RUMHYD_00044	1511.58453431655	1087.69130536151	1376.019367354	920.850352299821	1942.47962938022	1190.28183844826	1545.02465337101	1295.86361874795	1268.90753186249
RUMHYD_00045	341.109784292672	172.929506692777	253.405546859252	348.515281541243	498.557919926345	331.546509580319	271.572029333621	334.587737627544	431.623278101564
RUMHYD_00046	180.587532860826	98.8168609673012	130.789959669291	266.342676000603	426.658124818108	290.028523245486	187.164506702901	467.360649384506	285.585326864192
RUMHYD_00047	93149.7248204714	155658.436899856	114418.50812041	16761.4876294749	6721.05062734303	13876.2668428584	2862.5159848679	3356.499209216	1268.90753186249
RUMHYD_00048	0	2.11750416358502	8.17437247933071	2.58585122330683	0	2.68821494254312	0	37.1764152919493	0
RUMHYD_00049	12117.7578763186	6792.95335678076	8324.23597478511	11405.9024292038	14402.8721431654	8895.90062597354	7948.98669644085	6967.92240900536	3537.36370774966
RUMHYD_00050	163.866465003342	83.288497101011	67.2115070522747	58.3253109256985	15.012045132489	56.4525137934056	44.0387074595061	53.1091647027848	110.339785379347
RUMHYD_00051	5207.77658421337	9478.65447092777	3333.3274443493	1009.91856110261	587.049975444174	600.666694383802	132.116122378518	116.840162346126	25.9623024421993
RUMHYD_00052	27.5897619648485	37.4092402233354	60.8536617905731	12.9292561165341	7.50602256624449	18.2201234994589	7.33978457658435	0	6.49057561054983
RUMHYD_00053	59.3597908940679	107.286877621641	65.3949798346457	31.3175314822716	27.2587135300458	47.7904878674333	11.0096768648765	58.4200811730632	42.1887414685739
RUMHYD_00054	0	3.52917360597504	0	1.43658401294824	2.37032291565616	2.68821494254312	0	0	16.2264390263746
RUMHYD_00055	2726.37011416275	2179.61761905019	2490.45881536942	2104.88289577176	1408.36686571903	1839.63509234701	836.735441730616	801.94838701205	1080.68083915655
RUMHYD_00056	7472.64522550957	7928.64142318353	7603.07466938638	10815.7537166847	5811.63673536962	9612.16056288669	2763.42889308401	2650.14731866896	2080.22948318122
RUMHYD_00057	48.4910967867034	145.401952566172	130.789959669291	64.6462805826707	225.970784625887	131.722532184613	150.465583819979	223.058491751696	710.718029355206
RUMHYD_00058	1738.99105717833	1544.36636997468	1602.17700594882	676.34375329603	848.575603804903	656.223136529693	1097.29779419936	1572.03127520243	785.359648876529
RUMHYD_00059	6588.10073584867	5331.87548390709	6359.66178891929	5113.66445249055	7117.68466189616	4870.4480947898	3027.66113784104	4339.01875621752	2807.1739515628
RUMHYD_00060	972.33009591269	1285.32502729611	1200.7244908528	1042.95999340042	870.303563865085	1124.86860817971	216.523645009238	414.251484681721	259.623024421993
RUMHYD_00061	1607.73067449708	1947.39799577703	2604.90003008005	1577.08192941458	1279.97437445432	1629.05825518113	682.599965622345	770.082888190379	1054.71853671435
RUMHYD_00062	394.617201436621	364.210716136624	374.204606831584	574.058971574116	433.769093565076	463.269041764932	234.873106450699	339.898654097823	431.623278101564
RUMHYD_00063	547.614972332599	674.777993462428	794.730657712708	940.962528481096	993.560355479205	680.11838046341	693.609642487221	812.570219952607	863.246556203127
RUMHYD_00064	4363.36265741043	5563.38927245906	6181.64212159165	5864.4232576573	6117.01333766998	6044.89933413197	4128.6288243287	4487.72441738531	2265.21088808189
RUMHYD_00065	1295.04670556213	1352.37932580964	1128.97166575645	2265.20567161678	924.030883286624	2324.40985365229	660.580611892592	950.654048179847	490.038458596512
RUMHYD_00066	34.278189107842	0	0	1.14926721035859	0.395053819276026	0	22.0193537297531	0	55.1698926896736
RUMHYD_00067	792.578616444738	464.439246546315	641.234107823054	873.155763069939	1440.76127889967	417.86807829087	1655.12142201977	1354.28369992101	1395.47375626821
RUMHYD_00068	729.874611979173	906.997616735586	906.447081596894	1219.65982699305	1522.93247330908	1108.44062797528	987.201025550595	754.150138779544	473.812019570138
RUMHYD_00069	5658.40936297256	8222.26866720065	10424.1414383643	2550.5112565883	2841.62212205245	3014.9824033367	2025.78054313728	2076.56833987888	1681.05908313241
RUMHYD_00070	3676.96282186071	2305.96203414409	2332.4209474357	5916.71491572861	5458.85367475613	5221.11079951709	2345.0611722187	2474.88707514977	1745.9648392379
RUMHYD_00071	0	2.11750416358502	0.908263608814524	1.43658401294824	7.90107638552052	2.38952439337166	0	0	29.2075902474742
RUMHYD_00072	107.014834287897	83.994331822206	49.9544984847988	290.189970615544	520.680933805802	398.751883143897	84.40752263072	74.3528305838987	94.1133463529725
RUMHYD_00073	251.652071255133	293.627244017123	239.781592727034	209.741265890443	238.217453023444	178.616948404532	201.84407585607	456.738816443949	1194.26591234117
RUMHYD_00074	0	0	0	1.43658401294824	0	0	0	0	0
RUMHYD_00075	40.9666162508356	71.2893068406958	59.037134572944	151.703271767334	419.942209890415	243.432797574738	77.0677380541357	143.394744697519	110.339785379347
RUMHYD_00076	2404.48955790619	2505.71326024228	1910.07836933694	895.279156869342	1723.22475968202	1520.03620473355	1056.92897902815	1248.06537051544	649.057561054983
RUMHYD_00077	1035.87015377113	647.250439335823	627.610153690836	786.960722293045	1714.53357565795	952.225470758608	778.017165117941	934.721298769012	483.547882985962
RUMHYD_00078	2888.56447238035	4162.30735088696	2790.18580627822	2914.82896227197	4974.51769232372	4174.20042467113	1647.78163744319	1922.55176224081	947.624039140275
RUMHYD_00079	464.845686438053	251.982995466618	312.442681432196	412.012294913555	779.836239250875	637.405631931892	238.542998738991	164.638410578633	51.9246048843986
RUMHYD_00080	1592.68171342534	2404.0730603902	1944.59238647189	3298.10957692656	6571.32522983741	5835.51725916278	1629.43217600173	1864.13168106775	528.981912259811
RUMHYD_00081	4533.08149616389	3385.88915757245	3804.71625732404	3617.89317820884	6037.6075199955	6090.5989881552	1067.93865589302	1492.36752814825	811.321951318729
RUMHYD_00082	1965.56152664724	2646.17436976009	1957.3080769953	1656.66868373191	2293.68247471661	2200.45327574613	414.697828577016	775.393804660658	321.283492722217
RUMHYD_00083	3818.25584525645	2042.68568313835	3855.57901941765	1099.56140351058	1701.10174580257	1729.11958915357	179.824722126317	398.318735270886	223.924858563969
RUMHYD_00084	1348.55412270608	962.758559709991	901.905763552822	820.864104998623	1025.55971484056	743.440776887759	201.84407585607	430.184234092557	175.245541484845
RUMHYD_00085	213.19361518292	147.519456729757	163.487449586614	412.012294913555	424.287801902452	354.246991317349	121.106445513642	191.192992930025	133.056800016272
RUMHYD_00086	713.153544121689	607.017860227707	643.958898649497	1230.29054868887	1007.78229297314	974.627261946468	121.106445513642	371.764152919493	194.717268316495
RUMHYD_00087	4334.93684205271	1824.5827542891	2950.94846503839	1119.38626288927	782.601615985807	891.591289276802	102.756984072181	308.033155276152	175.245541484845
RUMHYD_00088	1394.53705931416	1068.63376788924	960.942898125766	1422.50548962135	468.138775842091	1241.35792235658	176.154829838024	430.184234092557	123.320936600447
RUMHYD_00089	87.7856062517906	74.1126457254759	66.3032434434602	74.989685475898	77.035494758825	95.5809757348666	33.0290305946296	15.9327494108354	184.98140490067
RUMHYD_00090	67.7203248228099	43.7617527140905	31.7892263085083	79.0121207121531	143.009482577921	107.528597701725	55.0483843243826	21.2436658811139	266.113600032543
RUMHYD_00091	20.0652814289807	4.94084304836506	17.2570085674759	33.0414322978095	51.3569965058834	37.3363186464323	47.7085997477983	79.6637470541772	152.528526847921
RUMHYD_00092	0	7.76418193314509	19.9817993939195	22.6980274045822	56.4926961564717	35.842865900575	25.6892460180452	31.8654988216709	116.830360989897
RUMHYD_00093	5.01632035724518	31.7625624537754	6.35784526170166	7.75755366992049	10.2713993011767	11.6489314176869	29.3591383063374	31.8654988216709	159.019102458471
RUMHYD_00094	5.01632035724518	7.76418193314509	1.81652721762905	6.32096965697225	7.90107638552052	3.88297713922896	36.6989228829218	53.1091647027848	220.679570758694
RUMHYD_00095	17.5571212503581	0	6.35784526170166	1.14926721035859	0.790107638552052	2.68821494254312	18.3494614414609	47.7982482325063	253.132448811443
RUMHYD_00096	0	4.23500832717005	0	0	3.55548437348423	1.49345274585729	11.0096768648765	0	149.283239042646
RUMHYD_00097	0	1.41166944239002	0	1.43658401294824	0.395053819276026	0.597381098342916	0	15.9327494108354	116.830360989897
RUMHYD_00098	0	0	0	1.43658401294824	1.18516145782808	1.49345274585729	7.33978457658435	53.1091647027848	233.660721979794
RUMHYD_00099	0	0	0	0	2.76537673493218	0	0	0	32.4528780527491
RUMHYD_00100	2949.59637006016	1485.78208811549	2236.14500490136	552.222894577303	933.907228768525	565.42120958157	484.425782054567	685.108224665924	175.245541484845
RUMHYD_00101	362.847172507401	193.398713607432	152.58828628084	310.589463599409	464.978345287882	276.886139081942	106.426876360473	122.151078816405	25.9623024421993
RUMHYD_00102	2488.93095058648	2296.08034804736	2906.44354820648	1550.93610037892	2048.74910676547	1330.66639655885	1159.68596310033	1194.95620581266	597.132956170584
RUMHYD_00103	831.873125909825	1082.04462759195	990.007333607831	738.404182655394	2310.2747351262	1178.93159757975	840.405334018908	1094.04879287737	415.396839075189
RUMHYD_00104	288.438420541598	209.632912194917	147.138704627953	296.798257075106	630.505895564537	321.988412006832	616.541904433086	446.116983503392	327.774068332766
RUMHYD_00105	0	0	0	1.43658401294824	0.395053819276026	0.597381098342916	0	21.2436658811139	188.226692705945
RUMHYD_00106	0	2.82333888478003	0	0.287316802589648	1.18516145782808	0	0	0	45.4340292738488
RUMHYD_00107	18.3931746432323	0	4.54131804407262	0.861950407768943	0	0.597381098342916	7.33978457658435	47.7982482325063	181.736117095395
RUMHYD_00108	0	3.52917360597504	6.35784526170166	2.87316802589648	9.48129166262462	2.09083384420021	14.6795691531687	5.31091647027848	87.6227707424227
RUMHYD_00109	0	4.23500832717005	1.81652721762905	2.87316802589648	4.74064583131231	2.09083384420021	7.33978457658435	0	107.094497574072
RUMHYD_00110	0	0	0	2.87316802589648	0.395053819276026	1.79214329502875	0	37.1764152919493	207.698419537595
RUMHYD_00111	3.34421357149678	3.52917360597504	5.44958165288714	2.58585122330683	5.53075346986436	7.76595427845791	7.33978457658435	37.1764152919493	184.98140490067
RUMHYD_00112	1.67210678574839	4.94084304836506	9.99089969695976	7.47023686733084	9.87634548190065	8.06464482762937	3.66989228829218	0	113.585073184622
RUMHYD_00113	0	13.4108597027052	0	10.3434048932273	15.012045132489	7.46726372928645	18.3494614414609	0	51.9246048843986
RUMHYD_00114	3.34421357149678	4.23500832717005	15.4404813498469	13.7912065243031	16.5922604095931	14.0384558110585	0	53.1091647027848	97.3586341582475
RUMHYD_00115	0	0	0	0.861950407768943	0.790107638552052	0.896071647514374	0	0	19.4717268316495
RUMHYD_00116	101.998513930652	79.0534887738409	116.257741928259	31.3175314822716	32.7894669999101	34.0507226055462	14.6795691531687	84.9746635244556	113.585073184622
RUMHYD_00117	17.5571212503581	31.7625624537754	28.1561718732502	4.59706884143436	4.34559201203628	3.5842865900575	22.0193537297531	5.31091647027848	74.6416195213231
RUMHYD_00118	0	8.4700166543401	29.0644354820648	6.32096965697225	9.0862378433486	3.5842865900575	3.66989228829218	47.7982482325063	74.6416195213231
RUMHYD_00119	20.0652814289807	38.8209096657255	12.7156905234033	12.9292561165341	9.87634548190065	5.97381098342916	36.6989228829218	21.2436658811139	207.698419537595
RUMHYD_00120	7.52448053586777	11.9991902603151	1.81652721762905	3.44780163107577	3.55548437348423	3.5842865900575	11.0096768648765	21.2436658811139	178.49082929012
RUMHYD_00121	19.2292280361065	0	0	2.87316802589648	5.53075346986436	1.79214329502875	36.6989228829218	58.4200811730632	457.585580543763
RUMHYD_00122	0	0	0	1.72390081553789	0	2.09083384420021	14.6795691531687	37.1764152919493	133.056800016272
RUMHYD_00123	99.4903537520293	111.521885948811	115.349478319444	98.8369800908388	157.231420071858	173.837899617789	102.756984072181	63.7309976433417	155.773814653196
RUMHYD_00124	115.375368216639	91.0526790341561	72.6610887051619	97.4003960778905	198.317017276565	151.137417880758	91.7473072073044	132.772911756962	142.792663432096
RUMHYD_00125	61.0318976798163	110.816051227616	121.707323581146	81.8852887380496	157.231420071858	107.827288250896	157.805368396564	159.327494108354	720.453892771031
RUMHYD_00126	50.1632035724518	50.1142652048456	102.633787796041	46.2580052169333	77.035494758825	47.1931067690904	66.0580611892592	63.7309976433417	331.019356138041
RUMHYD_00127	38.458456072213	68.4659679559158	63.5784526170166	27.2950962460165	58.4679652528518	31.0638171138316	113.766660937057	122.151078816405	311.547629306392
RUMHYD_00128	43.4747764294582	87.523505428181	89.9180972726378	84.4711399613564	143.009482577921	106.632526054211	80.7376303424279	100.907412935291	282.340039058918
RUMHYD_00129	8.36053392874196	29.6450582901903	54.4958165288714	75.851635883667	116.935930505704	75.8673994895504	179.824722126317	233.680324692253	700.982165939382
RUMHYD_00130	11.7047475002387	35.9975707809454	47.2297076583552	56.6014101101606	101.133777734663	67.2053735635781	99.0870917838887	164.638410578633	649.057561054983
