"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RUMHYD_00001"	18.5768097342282	1.14541699965778	1.12081557036041	0	1	1
"RUMHYD_00002"	16927.1482655166	1.18017180559372	0.514599546610625	0	1	1
"RUMHYD_00004"	9.99888062954266	1.1418429150029	1.66176570188771	0	1	1
"RUMHYD_00005"	23.5062166413505	-0.00548242265670292	1.0897267699568	0	1	1
"RUMHYD_00007"	0	NA	NA	NA	NA	NA
"RUMHYD_00006"	181.711370188388	0.441144865097189	0.806307677977475	0	1	1
"RUMHYD_00008"	239.809996372586	1.87467355580055	0.782213883385405	0.478991186117753	0.631944898916608	1
"RUMHYD_00009"	222.556658252048	-0.180899679069935	0.693722123142745	0	1	1
"RUMHYD_00010"	170.457578322719	1.98465434569302	0.779634891414765	0.621642708696038	0.534176831273313	1
"RUMHYD_00011"	135.302499746475	1.83952744472933	0.797932265436705	0.42550910576791	0.67046558507773	1
"RUMHYD_00012"	201.203545873559	1.19776985468507	0.684714429892675	0	1	1
"RUMHYD_00013"	346.968883394947	0.195333444861595	0.645147810548676	0	1	1
"RUMHYD_00014"	431.137427752378	-2.86246827052903	0.583836507919733	-2.33364692349172	0.019614217420185	0.167652745279319
"RUMHYD_00015"	217.480078120897	-3.8343154381659	0.619015542315943	-3.77101264603543	0.000162586432575504	0.00367815294772607
"RUMHYD_00016"	0.0461540301425417	2.54903540075687	4.0804728567969	0.257086724399962	0.797111825602635	1
"RUMHYD_00017"	944.503918811321	-2.55572821152869	0.468685251156885	-2.25253132869611	0.0242887152259788	0.192374771747899
"RUMHYD_00018"	1677.76440858577	-0.975458104107404	0.558611223403	0	1	1
"RUMHYD_00019"	419.006844079149	1.86863785345474	0.621749087461233	0.592904534785864	0.553245042991815	1
"RUMHYD_00020"	542.813580601493	-1.78938132262158	0.48450167598288	-0.597276205566322	0.550322988025443	1
"RUMHYD_00021"	212.0227499793	0.556645026546415	0.590499934756687	0	1	1
"RUMHYD_00022"	194.139942605004	0.720563773856258	0.580249753223676	0	1	1
"RUMHYD_00023"	143.61762469315	0.713391204458993	0.740015306737715	0	1	1
"RUMHYD_00024"	131.305942826742	-0.132436627072974	0.623187538730457	0	1	1
"RUMHYD_00025"	245.537322005791	0.482299564324058	0.569694356657339	0	1	1
"RUMHYD_00026"	343.50363779731	-0.634652476989377	0.584930572709843	0	1	1
"RUMHYD_00027"	77.7215448537264	1.91518875232135	0.943773651010764	0.439924077003728	0.659992096970279	1
"RUMHYD_00028"	158.177683651612	-0.64126310382564	0.56025173206828	0	1	1
"RUMHYD_00029"	2.89829646996901	-3.20863868857793	3.17577204446673	-0.538023090024661	0.590561107803663	1
"RUMHYD_00030"	58.0555265893842	0.357254788521067	0.82116574548703	0	1	1
"RUMHYD_00031"	433.13771465221	-1.66660602569233	0.535234268455309	-0.311276828692512	0.755590180918305	1
"RUMHYD_00032"	3.02045812221658	2.59755547801205	2.87995357352402	0.381101795564379	0.70312771511139	1
"RUMHYD_00033"	0.948303212356392	3.39906239833397	4.02596926052637	0.471703154058775	0.637138685519312	1
"RUMHYD_00034"	3.00706564967261	0.717214958040818	2.55548250355785	0	1	1
"RUMHYD_00035"	814.300500327268	-1.19149499339273	0.466408429899102	0	1	1
"RUMHYD_00036"	8106.74578953543	-1.43411503068331	0.4755635419443	0	1	1
"RUMHYD_00037"	564.38862907929	-2.3522879452769	0.678808428874816	-1.25556476470046	0.209273813068071	0.909823320795364
"RUMHYD_00038"	291.587385351697	-0.388676707805149	0.45958429402607	0	1	1
"RUMHYD_00039"	225.758221893094	0.529007343911511	0.674421873934537	0	1	1
"RUMHYD_00040"	545.767978494142	-0.107380701581273	0.48139631314941	0	1	1
"RUMHYD_00041"	16065.4286617619	-1.58236502977236	0.740090784311944	-0.111290441008442	0.911386035288065	1
"RUMHYD_00042"	323.606280567363	-2.00605526764846	0.567979146279787	-0.890975084143631	0.372942537162915	1
"RUMHYD_00043"	373.205989416857	-1.62079128361051	0.478394388654495	-0.252493102919199	0.800659944524086	1
"RUMHYD_00044"	1214.04908516085	-0.086021053378403	0.451798198616763	0	1	1
"RUMHYD_00045"	328.226863273906	-0.306444101541075	0.4704530915473	0	1	1
"RUMHYD_00046"	285.305126846695	-0.185392362137776	0.534098225509004	0	1	1
"RUMHYD_00047"	6826.59501079595	-2.4028844315598	0.522244634484492	-1.72885343752941	0.083835329349902	0.489461038378701
"RUMHYD_00048"	6.19763337625751	2.69733527369399	2.58800539227905	0.4626479053197	0.643616764737393	1
"RUMHYD_00049"	8020.85636967159	-0.997563409340828	0.466301550502748	0	1	1
"RUMHYD_00050"	48.9064771453172	0.546577173139012	0.868775355864543	0	1	1
"RUMHYD_00051"	377.984342352976	-3.08520497030651	0.62790126694602	-2.52460865068264	0.011582719432111	0.113073679624071
"RUMHYD_00052"	7.91585897250299	-1.53737214268265	1.80621546553129	-0.0206908552140317	0.983492263941899	1
"RUMHYD_00053"	32.1011256526884	-0.0748015785534119	0.97582994711542	0	1	1
"RUMHYD_00054"	3.15318846813883	1.15368241688373	2.79806469333199	0	1	1
"RUMHYD_00055"	1208.90744654623	-1.09305592550414	0.403186637976993	0	1	1
"RUMHYD_00056"	5110.65253872567	-1.90649186002813	0.424008358967571	-0.958688316942402	0.33771578579516	1
"RUMHYD_00057"	214.453188597946	1.20055868813913	0.692167109906497	0	1	1
"RUMHYD_00058"	833.280140609996	0.563820459843648	0.455460923931142	0	1	1
"RUMHYD_00059"	4091.83100453594	-0.854773226385267	0.414101310705384	0	1	1
"RUMHYD_00060"	594.694611588479	-1.88742387776099	0.45904289005106	-0.84398187219041	0.398679535545225	1
"RUMHYD_00061"	1044.7252331906	-0.961059024332952	0.402759359153341	0	1	1
"RUMHYD_00062"	368.173927589443	-0.672206103154625	0.461334375084679	0	1	1
"RUMHYD_00063"	739.184550490362	-0.257077114728149	0.413361565220819	0	1	1
"RUMHYD_00064"	4348.43633526443	-0.819835807788521	0.433418835267047	0	1	1
"RUMHYD_00065"	1149.93887386013	-1.49048760457077	0.510394511680927	0	1	1
"RUMHYD_00066"	10.8709688251417	5.49723342779841	1.93267498478853	2.0682388188699	0.0386175716499667	0.279496524317192
"RUMHYD_00067"	1051.57587314576	0.584178485968974	0.514253135664519	0	1	1
"RUMHYD_00068"	913.974417624091	-0.887495756368384	0.466450817749944	0	1	1
"RUMHYD_00069"	2123.95936509311	-0.643583632376601	0.386751972738739	0	1	1
