species	parameter	value	min	max
bh	bh_expA_mumax	0.6125708405115089	0.1	2.0
bh	bh_expA_pHopt	5.336655425133994	5.0	8.0
bh	bh_expA_pHalpha	55.6929380293973	10.0	400.0
bh	bh_expB_mumax	1.5705240107656622	0.1	2.0
bh	bh_expB_pHopt	6.40790357496987	5.0	8.0
bh	bh_expB_pHalpha	40.15059549967757	10.0	400.0
bh	bh_z1_r	0.010418960495172103	0.0	3.0
bh	bh_z2_r	0.05269080144226901	0.0	3.0
bh	bh_z3_r	0.039416303238660744	0.0	3.0
bh	bh_z4_r	2.883293573610869	0.0	3.0
bh	bh_monod_trehalose	5.176868430023883	0.1	10.0
bh	bh_monod_pyruvate	0.2409334739972648	0.1	10.0
bh	bh_monod_glucose	0.21645009821564362	0.1	10.0
bh	bh_monod_glutamate	0.1018799355226074	0.1	10.0
bh	bh_expA_ft1_trehalose_g	0.6284041232804599	0.0	10.0
bh	bh_expA_ft1_acetate_g	-1.8984782582496322	-10.0	0.0
bh	bh_expA_ft1_lactate_g	-1.1006403495708668	-10.0	0.0
bh	bh_expA_ft2_pyruvate_g	1.1959788178531439	0.0	10.0
bh	bh_expA_ft2_acetate_g	-0.8957951031917695	-10.0	0.0
bh	bh_expB_ft3_glucose_g	1.6993810959813882	0.0	10.0
bh	bh_expB_ft3_glutamate_g	1.149398401053664	0.0	10.0
bh	bh_expB_ft3_acetate_g	-2.523027990985584	-10.0	0.0
bh	glutamate_conc	1.0155213637251637	0.0	10.0
bh	bh_z1_t1	0.010244909248839	0.01	10.0
bh	bh_z1_t2	6.272890486230119	0.0001	10.0
bh	bh_z1_h1	8.691236463376194	0.0001	10.0
bh	bh_z1_h2	9.956222130498942	0.0001	10.0
bh	bh_z3_t1	0.9159756421714504	0.0001	1.0
bh	bh_z3_t2	0.00043166776621960816	0.0001	1.0
bh	bh_z3_h1	3.499675454460096	0.0001	10.0
bh	bh_z3_h2	2.1554134162593637	0.0001	10.0
