species	parameter	value	min	max
bh	bh_expA_mumax	0.6191430120495816	0.1	2.0
bh	bh_expA_pHopt	5.341767514846262	5.0	8.0
bh	bh_expA_pHalpha	55.047770002361105	10.0	400.0
bh	bh_expB_mumax	1.6382987830867557	0.1	2.0
bh	bh_expB_pHopt	6.4487310409399115	5.0	8.0
bh	bh_expB_pHalpha	47.08072963580171	10.0	400.0
bh	bh_z1_r	0.006505365024232657	0.0	3.0
bh	bh_z2_r	0.04426691113958714	0.0	3.0
bh	bh_z3_r	0.029652676777167986	0.0	3.0
bh	bh_z4_r	0.01153555186192562	0.0	3.0
bh	bh_monod_trehalose	7.213798597758697	0.1	10.0
bh	bh_monod_pyruvate	0.3680394179307779	0.1	10.0
bh	bh_monod_glucose	0.11731963545838542	0.1	10.0
bh	bh_monod_glutamate	0.10851255783315664	0.1	10.0
bh	bh_expA_ft1_trehalose_g	0.5422701413676773	0.0	10.0
bh	bh_expA_ft1_acetate_g	-3.2716667311653547	-10.0	0.0
bh	bh_expA_ft1_lactate_g	-2.2191566235620748	-10.0	0.0
bh	bh_expA_ft2_pyruvate_g	1.2175121017737023	0.0	10.0
bh	bh_expA_ft2_acetate_g	-0.876739130543255	-10.0	0.0
bh	bh_expB_ft3_glucose_g	2.0281536300938807	0.0	10.0
bh	bh_expB_ft3_glutamate_g	1.058573493095537	0.0	10.0
bh	bh_expB_ft3_acetate_g	-2.4050595860127544	-10.0	0.0
bh	glutamate_conc	1.0201279222036645	0.0	10.0
bh	bh_z1_t1	0.15750569809974885	0.1	2.0
bh	bh_z1_t2	3.35850393905945	0.0001	10.0
bh	bh_z1_h1	4.245088896352355	0.0001	10.0
bh	bh_z1_h2	6.187951650746403	0.0001	10.0
bh	bh_z3_t1	0.020615988868299552	0.0001	1.0
bh	bh_z3_t2	0.00035515372559690085	0.0001	1.0
bh	bh_z3_h1	5.6738979586523195	0.0001	10.0
bh	bh_z3_h2	4.710422756608127	0.0001	10.0
